fid,renabap_id,nombre_barrio,provincia,departamento,localidad,cantidad_familias_aproximada,cantidad_viviendas_aproximadas,decada_de_creacion,anio_de_creacion,energia_electrica,efluentes_cloacales,agua_corriente,cocina,calefaccion,situacion_dominial,clasificacion_barrio,superficie_m2,WKT
2068,2236,El Timbo,Chaco,San Fernando,Resistencia,220,200,Década 1990,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Inexistente,NO,Asentamiento,65896,"MULTIPOLYGON (((-58.999422 -27.423833,-59.000467239401 -27.4229825635935,-59.0013391546097 -27.4237593241924,-59.000704 -27.424324,-58.9999826758075 -27.4249402468875,-59.0008772817967 -27.4256775635935,-59.0014402817967 -27.425166127187,-59.001968566117 -27.4247279700538,-59.0025130423957 -27.4241489152086,-59.0002055211978 -27.4220769576043,-58.9999206483849 -27.4218174364064,-58.9987463727218 -27.4229046613747,-58.9989636069965 -27.4231247806182,-58.9987947605989 -27.4238744862886,-58.9991011644448 -27.4241118391613,-59.0000018011229 -27.4248959650908,-59.000354887786 -27.4245604364064,-58.999422 -27.423833)))"
2069,2237,El Bajo,Chaco,San Fernando,Barranqueras,99,90,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Inexistente,NO,Asentamiento,47489,"MULTIPOLYGON (((-58.950477 -27.495624,-58.947776 -27.493276,-58.947357 -27.493654,-58.947574 -27.493811,-58.947794 -27.493633,-58.948377 -27.494206,-58.948728 -27.494561,-58.94862 -27.494729,-58.947539 -27.495703,-58.948489 -27.49644,-58.94909 -27.496933,-58.950477 -27.495624)))"
2070,2238,Villa Chica,Chaco,San Fernando,Resistencia,66,60,Década 1990,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,28094,"MULTIPOLYGON (((-59.0000715602802 -27.4280035375923,-58.9988774155922 -27.4291243580637,-58.9997661429916 -27.429888884633,-58.9998949369676 -27.4299247740481,-59.0001107161274 -27.4301786419362,-59.0012299053758 -27.4291303580637,-59.000982211843 -27.4288640338433,-59.0000715602802 -27.4280035375923)))"
2071,2239,Villa Luisa,Chaco,San Fernando,Resistencia,132,120,Década 1980,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Inexistente,NO,Asentamiento,41024,"MULTIPOLYGON (((-59.005732 -27.428884,-59.004446 -27.427767,-59.003845 -27.428332,-59.004252 -27.428745,-59.00255 -27.430206,-59.002459 -27.430186,-59.002355 -27.430112,-59.002236 -27.430003,-59.001938 -27.430258,-59.002043 -27.430405,-59.002903 -27.430622,-59.003885504 -27.430232207,-59.005455 -27.429215,-59.005732 -27.428884)))"
2072,2240,La Toma,Chaco,San Fernando,Barranqueras,50,45,Década 1970,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,155058,"MULTIPOLYGON (((-58.908427 -27.468502,-58.907392 -27.469054,-58.906635 -27.468664,-58.90634 -27.46894,-58.906823 -27.469378,-58.906356 -27.469635,-58.905948 -27.470135,-58.90515 -27.469587,-58.905302467996 -27.469325535365,-58.9047334676918 -27.4689164604266,-58.904568 -27.469168,-58.904396 -27.469145,-58.903495 -27.469328,-58.903044 -27.469421,-58.902084 -27.468742,-58.901505 -27.469016,-58.899849 -27.469054,-58.899114 -27.467603,-58.8983056254193 -27.4665858202712,-58.897676 -27.466598,-58.897263 -27.466593,-58.897188 -27.467893,-58.898063 -27.468317,-58.89839 -27.468136,-58.899061 -27.468488,-58.899753 -27.469387,-58.9009127642573 -27.4694454848007,-58.901308567885 -27.4695003147405,-58.901606929046 -27.4695789686753,-58.902204 -27.469901,-58.9024000263738 -27.4700126319903,-58.903609 -27.470506,-58.9040189014233 -27.4706644797209,-58.9038709488157 -27.4709207367834,-58.904189 -27.471072,-58.90458 -27.470925,-58.905455 -27.471163,-58.906022326495 -27.4714419685867,-58.906506 -27.471006,-58.907805 -27.469906,-58.9101978718718 -27.4678794046458,-58.9101190279476 -27.4677419720523,-58.9098976568042 -27.4676696607523,-58.908427 -27.468502)))"
2073,2241,Mapic 1,Chaco,San Fernando,Resistencia,36,33,Década 1960,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,30603,"MULTIPOLYGON (((-58.9833865827138 -27.4012827139405,-58.9826931299257 -27.4018616815985,-58.9831281734201 -27.4022640150558,-58.9833898537175 -27.402041586803,-58.98363845 -27.4015345812268,-58.9833865827138 -27.4012827139405)),((-58.984707319738 -27.4005298197026,-58.9852330808904 -27.4001274042751,-58.9849123820056 -27.3998282908922,-58.986118 -27.39877,-58.986531294645 -27.3991113438662,-58.9871572741989 -27.3985470371747,-58.9869414191803 -27.3983435167286,-58.986541 -27.398728,-58.985846 -27.398256,-58.985422 -27.398656,-58.985503 -27.398794,-58.984591 -27.399713,-58.984349 -27.399404,-58.984108 -27.399513,-58.984328 -27.399966,-58.9839269163568 -27.4002736966128,-58.9838674242584 -27.4002084143931,-58.9837271261704 -27.4003215074834,-58.983791687751 -27.4003907737372,-58.982042 -27.401161,-58.982306703567 -27.4014402653346,-58.9827368717826 -27.4010948973048,-58.982896 -27.401085,-58.9836277120731 -27.4006335239867,-58.9838095813436 -27.400606145817,-58.9839834345149 -27.400626954461,-58.9844205409276 -27.4002615427509,-58.984707319738 -27.4005298197026)))"
2074,2242,Juventud Unida,Chaco,San Fernando,Resistencia,44,40,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,7049,"MULTIPOLYGON (((-58.9936943609999 -27.396338167,-58.994016339 -27.3972431399999,-58.994657702 -27.3970417469999,-58.9943161909999 -27.396127129,-58.9936943609999 -27.396338167)))"
2075,2243,Villa Paraguay,Chaco,San Fernando,Barranqueras,275,250,Década 1940,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Inexistente,NO,Villa,99245,"MULTIPOLYGON (((-58.9205617317611 -27.481507866367,-58.920632499724 -27.4816444514477,-58.9207280219127 -27.4817929768021,-58.9208503369104 -27.4819484915848,-58.9210006096218 -27.4820807082728,-58.9212708675214 -27.482254279079,-58.922785 -27.481084,-58.9249193847594 -27.4795056711726,-58.925168659149 -27.4793831464726,-58.9261222071711 -27.4788533975714,-58.9261782470083 -27.4788222643285,-58.926326 -27.478787,-58.926162 -27.47844,-58.9257563256443 -27.4780285025675,-58.9248800875399 -27.4787553374906,-58.9234125448856 -27.4774199244088,-58.923058 -27.477883,-58.924006 -27.478489,-58.924228 -27.478749,-58.924179 -27.478985,-58.9236518305976 -27.4791677400351,-58.9236155721254 -27.4793494138574,-58.9224332631003 -27.4798829372271,-58.9223075927947 -27.4796197096069,-58.921718 -27.479787,-58.92051 -27.480166,-58.920004 -27.479876,-58.919808 -27.479977,-58.920013 -27.480296,-58.9205197951905 -27.4813462358344,-58.9205617317611 -27.481507866367)))"
2076,2244,La Lomita,Chaco,San Fernando,Barranqueras,220,200,Década 1960,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Inexistente,NO,Villa,94875,"MULTIPOLYGON (((-58.9264196401796 -27.4789104656796,-58.9261805038923 -27.4788230889592,-58.9261782470083 -27.4788222643285,-58.9261222071711 -27.4788533975714,-58.925168659149 -27.4793831464726,-58.9249193847594 -27.4795056711726,-58.922785 -27.481084,-58.921225 -27.482291,-58.92151 -27.482524,-58.922973520607 -27.481528741143,-58.9242 -27.482568,-58.9244607150536 -27.4823243403228,-58.924773 -27.482075,-58.925042 -27.481793,-58.925442 -27.481436,-58.925658487 -27.481265731,-58.9257653991397 -27.4814393000698,-58.9260378829999 -27.481346431,-58.9262595329999 -27.481215355,-58.9264959216637 -27.4803736595458,-58.9273303842794 -27.4797518078602,-58.9264196401796 -27.4789104656796)))"
2077,2245,Villa Río Negro,Chaco,San Fernando,Resistencia,28,25,Década 1950,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Leña o carbón,Inexistente,NO,Asentamiento,11238,"MULTIPOLYGON (((-58.9785573827511 -27.4312396414847,-58.978205 -27.430864,-58.9782754825327 -27.4308253100437,-58.9778935067685 -27.4298368517467,-58.9773400155242 -27.4299712910793,-58.976998841048 -27.4302113962882,-58.9782916927947 -27.4314625687772,-58.9785573827511 -27.4312396414847)))"
2078,2246,Avenida Gaboto y Río,Chaco,San Fernando,Barranqueras,55,50,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Inexistente,NO,Asentamiento,104319,"MULTIPOLYGON (((-58.92186 -27.48525,-58.922283 -27.485003,-58.921468 -27.483913,-58.921409 -27.483356,-58.921607 -27.483242,-58.920819 -27.482518,-58.92032 -27.482023,-58.919875 -27.481181,-58.919338 -27.480067,-58.918641 -27.479363,-58.91745 -27.478273,-58.915926 -27.476879,-58.915197 -27.476179,-58.914832 -27.476122,-58.914451 -27.476003,-58.914172 -27.475913,-58.91341 -27.475294,-58.912402 -27.474385,-58.912101 -27.47459,-58.913239 -27.475679,-58.914768 -27.477055,-58.914993 -27.477274,-58.915165 -27.477269,-58.91628 -27.478349,-58.916683 -27.478754,-58.917166 -27.479235,-58.917933 -27.480096,-58.918582 -27.480448,-58.919049 -27.480896,-58.919983 -27.482209,-58.920808 -27.483475,-58.92142 -27.484508,-58.921387 -27.484765,-58.921452 -27.484855,-58.921666 -27.484784,-58.92186 -27.48525)))"
2079,2247,Avalos,Chaco,San Fernando,Resistencia,256,233,Década 2010,2011,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Inexistente,NO,Asentamiento,202017,"MULTIPOLYGON (((-58.9722729 -27.425521175,-58.9738069423043 -27.4241295121033,-58.973930418525 -27.4241296409534,-58.9753699555436 -27.4227636139504,-58.9746102188129 -27.4220694485128,-58.974302039 -27.422367153,-58.9746162169999 -27.4228495959999,-58.9736286255131 -27.4236855873695,-58.9731333095603 -27.4232605891435,-58.9732390811393 -27.4229873188903,-58.9728748606857 -27.4227615456256,-58.9728684870059 -27.4220683091416,-58.9729666253796 -27.4217216235334,-58.9729056936869 -27.4211191899018,-58.9710609937122 -27.421210008278,-58.9712306905782 -27.4217354961914,-58.9713525951907 -27.4224059935413,-58.9713057142112 -27.4229245287799,-58.9711506782648 -27.4233634435512,-58.9705125854077 -27.4228502063335,-58.9701902609194 -27.4231840185623,-58.9708362790812 -27.423718038304,-58.9704735325938 -27.4241996871767,-58.9706510924054 -27.4243338021526,-58.9696056892023 -27.4254909909559,-58.9710546442555 -27.4259223489974,-58.970980239 -27.426318857,-58.969642759 -27.4281306149999,-58.970329523 -27.428854835,-58.971355971 -27.429376218,-58.9715513314966 -27.4294919873441,-58.9720589899999 -27.429475683,-58.9725689059999 -27.428311908,-58.971468134 -27.42726012,-58.972303192 -27.426074936,-58.972724247 -27.426432867,-58.972985787 -27.42619919,-58.9722729 -27.425521175)))"
