fid,renabap_id,nombre_barrio,provincia,departamento,localidad,cantidad_familias_aproximada,cantidad_viviendas_aproximadas,decada_de_creacion,anio_de_creacion,energia_electrica,efluentes_cloacales,agua_corriente,cocina,calefaccion,situacion_dominial,clasificacion_barrio,superficie_m2,WKT
483,519,Villa Esther,Buenos Aires,Florencio Varela,Estanislao Severo Zeballos,308,280,Década 1970,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,77744,"MULTIPOLYGON (((-58.25174093709 -34.8071459415574,-58.2507081258424 -34.8066456041063,-58.2494303584388 -34.8088626728773,-58.2496287530645 -34.8090787356951,-58.2491439798108 -34.8098619624595,-58.2489793993797 -34.809777447771,-58.2481821665737 -34.8111620565836,-58.248369777743 -34.8113859419076,-58.2478697070213 -34.81210820453,-58.2471848660887 -34.8133424161196,-58.2470918770884 -34.8133060655225,-58.2469383761719 -34.8133498619552,-58.2467569893033 -34.8136680107046,-58.247301579 -34.8138177546006,-58.247882428045 -34.8136894193543,-58.25174093709 -34.8071459415574)))"
484,520,Las Violetas,Buenos Aires,Bragado,Bragado,33,30,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión regular a la red de agua pero sin factura,Gas en garrafa,Sin Datos,NO,Asentamiento,26848,"MULTIPOLYGON (((-60.460786805075 -35.1280846940573,-60.458686687 -35.1296314109999,-60.4594495683 -35.1303815821899,-60.4614602574875 -35.1288382865817,-60.460786805075 -35.1280846940573)))"
485,522,Infico,Buenos Aires,Florencio Varela,Estanislao Severo Zeballos,220,200,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,47956,"MULTIPOLYGON (((-58.247827291 -34.814085189,-58.2463252539999 -34.814569653,-58.246196508 -34.8147193959999,-58.2456001593456 -34.815891465598,-58.2459379893467 -34.8160215126826,-58.2463760516516 -34.8161318761052,-58.246033977217 -34.81676948558,-58.2453053190924 -34.8179871670369,-58.2441911772986 -34.8199152017009,-58.2438405311155 -34.8205326901315,-58.2433575867453 -34.8203826343536,-58.2424950598991 -34.8219948151086,-58.2428486488972 -34.8223286961887,-58.243078880153 -34.8224280659305,-58.2448267299031 -34.8193413024515,-58.2452722054647 -34.8185095955491,-58.2454113869221 -34.818237522633,-58.2456545593015 -34.8177789948023,-58.247827291 -34.814085189)))"
486,523,El Molino III,Buenos Aires,Florencio Varela,Florencio Varela,165,150,Década 2010,2011,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Inexistente,NO,Villa,51064,"MULTIPOLYGON (((-58.3015664010339 -34.7992748565678,-58.3013320770137 -34.799534607636,-58.3011703537288 -34.7994173837053,-58.3009631661172 -34.7991997936355,-58.3009695074703 -34.7990338767865,-58.3011827466555 -34.798819166718,-58.3009391907134 -34.7982207503071,-58.3005864558948 -34.7978388633033,-58.3003968139837 -34.7979907040169,-58.3001975840512 -34.7977598468394,-58.300006986 -34.7976733749999,-58.2987064084276 -34.797029782467,-58.2999494471268 -34.7954213310053,-58.3003065871837 -34.7949524631675,-58.3003597121032 -34.7948879549629,-58.3008592338475 -34.7940866590978,-58.300961651641 -34.794636643955,-58.301045528543 -34.7950693238876,-58.3009636262384 -34.7955735672085,-58.3008931710861 -34.7961535979999,-58.3011519311289 -34.7963858983188,-58.3011247831921 -34.7965799262198,-58.3011916871845 -34.7966568909629,-58.3007816544203 -34.7975906112039,-58.301019080016 -34.7981317301556,-58.301046725462 -34.7981427070239,-58.3010776233135 -34.7982045027269,-58.3012808986523 -34.7986781342661,-58.3013849756257 -34.798863521375,-58.3015664010339 -34.7992748565678)))"
487,524,Sin Nombre,Buenos Aires,Bragado,Bragado,67,61,Década 1980,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,26247,"MULTIPOLYGON (((-60.4991005191736 -35.1079762310182,-60.4997983925016 -35.1077556084346,-60.4996765340448 -35.1073962231571,-60.4992642445891 -35.1074641529346,-60.499183377311 -35.1074082021268,-60.4991334631388 -35.1072993886558,-60.4988080191747 -35.1072993886558,-60.4988639237311 -35.1075479639673,-60.4988818930848 -35.1075569481946,-60.4991005191736 -35.1079762310182)),((-60.4974462389148 -35.1079039052137,-60.498268738351 -35.1076558965826,-60.4982657318299 -35.1076468413475,-60.4980930135883 -35.1071337588882,-60.498419819693 -35.1070430857992,-60.4983754649952 -35.1069886596236,-60.4960456629073 -35.1066379252676,-60.4959758687961 -35.1066739115105,-60.4961699917006 -35.1071494781112,-60.4965948298464 -35.108141672719,-60.4974462389148 -35.1079039052137)))"
488,525,Las Marías,Buenos Aires,Junín,Junín,22,20,Década 2010,2011,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,7629,"MULTIPOLYGON (((-60.9800075728534 -34.6173037734978,-60.9795468540133 -34.6176418472763,-60.9805921035886 -34.61850145582,-60.9810372581314 -34.6181302945651,-60.9800075728534 -34.6173037734978)))"
489,526,San José 2,Buenos Aires,San Vicente,Alejandro Korn,165,150,Década 1960,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Gas en garrafa,Leña o carbón,NO,Asentamiento,190701,"MULTIPOLYGON (((-58.3681690750825 -34.9995081060946,-58.3674083229999 -34.9991079009999,-58.3668080259999 -34.999609682,-58.36532979 -34.998879412,-58.3646204579999 -34.999872991,-58.365210631 -35.0001960819999,-58.3647219498775 -35.0009755560836,-58.3654370756903 -35.0013628305209,-58.3662028677388 -35.0006377974394,-58.3667290150167 -35.0009386728038,-58.3675558152042 -35.0001518295027,-58.3681449819999 -34.999536172,-58.3681690750825 -34.9995081060946)),((-58.3688611759999 -34.998663829,-58.3688832772421 -34.9986761357472,-58.3694951219999 -34.9979634009999,-58.370232954 -34.996869197,-58.3707851512525 -34.9959368902569,-58.3712318487516 -34.9950516915431,-58.3717523128102 -34.9938386414539,-58.3697462722066 -34.992781320768,-58.3669328975908 -34.9966438197853,-58.3678911724081 -34.9971309360635,-58.3673140248148 -34.9979367836472,-58.3688611759999 -34.998663829)))"
490,527,Los Almendros,Buenos Aires,Junín,Junín,44,40,Década 2010,2013,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Sin Datos,NO,Asentamiento,8002,"MULTIPOLYGON (((-60.9805921035886 -34.61850145582,-60.9801547469273 -34.618874696765,-60.9790797363004 -34.6180215137278,-60.9795468540133 -34.6176418472763,-60.9805921035886 -34.61850145582)))"
491,528,Santa Teresita,Buenos Aires,Almirante Brown,Glew,396,360,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,158434,"MULTIPOLYGON (((-58.4091854383643 -34.892352952949,-58.4079882249999 -34.8905236209999,-58.407510792 -34.890338814,-58.4072206042397 -34.8907408559167,-58.4071965942013 -34.8907295382727,-58.4071423727294 -34.8907969660053,-58.4068647822899 -34.8912196437146,-58.4070055330104 -34.8912817508723,-58.4055325332405 -34.8932541965759,-58.405457522135 -34.8932403787407,-58.405099654561 -34.8937577451681,-58.4043089607805 -34.8933643983463,-58.4032187706621 -34.8949245507807,-58.4062124663531 -34.8963911572529,-58.4062497539085 -34.8964073816281,-58.4091854383643 -34.892352952949)))"
492,529,Villa Vengochea 2,Buenos Aires,General Rodríguez,General Rodríguez,132,120,Década 1980,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Leña o carbón,NO,Asentamiento,74375,"MULTIPOLYGON (((-58.9211369 -34.6084511999999,-58.9232183 -34.6068617,-58.9220594999999 -34.6057843,-58.9205575 -34.6050248999999,-58.9190983999999 -34.6070382999999,-58.9202571 -34.6076741,-58.9211369 -34.6084511999999)))"
493,530,Riobamba y Rivero,Buenos Aires,San Pedro,San Pedro,50,45,Década 1990,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión regular a la red de agua pero sin factura,Gas en garrafa,Sin Datos,NO,Asentamiento,18417,"MULTIPOLYGON (((-59.6776216543118 -33.6754823810681,-59.67691672 -33.6759033399999,-59.677324416 -33.676381008,-59.677868485 -33.6770442199139,-59.6785604949999 -33.676613145,-59.679279327 -33.676189048,-59.6788274870178 -33.67562114962,-59.6781189915375 -33.6760651283296,-59.6776216543118 -33.6754823810681)))"
494,531,Los Naranjos 1,Buenos Aires,General Rodríguez,General Rodríguez,55,50,Década 1970,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,30833,"MULTIPOLYGON (((-58.9122213905809 -34.607625079864,-58.9125698999999 -34.606482,-58.9107782 -34.6060449,-58.9106601 -34.6058859,-58.9098071999999 -34.6061199,-58.9102514099433 -34.6073708303144,-58.9106924164819 -34.6072999950673,-58.9108248919537 -34.607297397509,-58.9122213905809 -34.607625079864)))"
495,532,San José I,Buenos Aires,Pergamino,Pergamino,110,100,Década 1950,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Gas en garrafa,NO,Asentamiento,62672,"MULTIPOLYGON (((-60.5681683968252 -33.8681677820873,-60.5655376198397 -33.8700865495267,-60.5660717450229 -33.8712392789618,-60.5671106428592 -33.870872600178,-60.5673310349515 -33.8712787558252,-60.5683014143365 -33.8709503608295,-60.5681583483535 -33.8705464594776,-60.5691301240291 -33.8701648344466,-60.5681683968252 -33.8681677820873)))"
496,533,Santa Teresita,Buenos Aires,Pergamino,Pergamino,245,223,Década 1990,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Gas en garrafa,Leña o carbón,NO,Asentamiento,325090,"MULTIPOLYGON (((-60.5658291057096 -33.8630520194193,-60.5683571739676 -33.8654302956557,-60.5690906717096 -33.8674223589999,-60.5720950811703 -33.8652015875196,-60.5742951727419 -33.8633744322795,-60.5723269506238 -33.8615298275806,-60.5702728333118 -33.8596869696773,-60.5658291057096 -33.8630520194193)))"
497,534,San José II,Buenos Aires,Pergamino,Pergamino,440,400,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión regular a la red de agua pero sin factura,Gas en garrafa,Sin Datos,NO,Asentamiento,162390,"MULTIPOLYGON (((-60.5670905109999 -33.874691358,-60.5676162239999 -33.8757157379999,-60.5671582677828 -33.875816932484,-60.5661544459494 -33.8761793053454,-60.565186740227 -33.8764933375824,-60.565341711 -33.876909348,-60.566795468 -33.8799378369999,-60.5697619919999 -33.878909053,-60.569060091 -33.8774259799999,-60.5676224269999 -33.874450849,-60.5670905109999 -33.874691358)),((-60.5668928659999 -33.8729276139999,-60.5649724039999 -33.873604611,-60.565637592 -33.875118927,-60.56759024 -33.8743617719999,-60.5668928659999 -33.8729276139999)))"
498,535,La Latita,Buenos Aires,Pergamino,Pergamino,77,70,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,28755,"MULTIPOLYGON (((-60.5620005169999 -33.8774170729999,-60.5600160559382 -33.8780065550093,-60.5608781564143 -33.8798744569152,-60.5617752109999 -33.8790827449999,-60.5618696798243 -33.8787801451384,-60.5618722900735 -33.8783919568237,-60.561946873 -33.877808999,-60.5620777048193 -33.8774716278615,-60.5620005169999 -33.8774170729999)))"
499,536,Bajo Campodónico,Buenos Aires,San Pedro,San Pedro,44,40,Década 1970,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Leña o carbón,NO,Asentamiento,38204,"MULTIPOLYGON (((-59.6141606459201 -33.7423797041596,-59.613959269944 -33.7425301984865,-59.6134164682581 -33.7421279238902,-59.6127717748029 -33.7427970647581,-59.6131787776433 -33.7431076403591,-59.6128375995141 -33.743447873046,-59.6127403229944 -33.7435959384796,-59.612492658 -33.744289997,-59.612707235 -33.7445301051203,-59.613741927786 -33.7436335999137,-59.6147001582007 -33.7427722491596,-59.6141606459201 -33.7423797041596)),((-59.613157846 -33.737955644,-59.612696506 -33.7383660529999,-59.613554813 -33.739383145,-59.613383152 -33.739873842,-59.613511898 -33.74022179,-59.614112712 -33.739784625,-59.614016153 -33.7391511769999,-59.6138230339999 -33.738410662,-59.613157846 -33.737955644)))"
500,537,Chacra 599,Buenos Aires,Lincoln,Lincoln,143,130,Década 2000,,Conexión irregular a la red,Conexión formal a la red cloacal,Conexión formal a la red de agua con factura,Gas en garrafa,Sin Datos,NO,Asentamiento,68175,"MULTIPOLYGON (((-61.5202264696688 -34.8789786633544,-61.5212679431562 -34.8781045590274,-61.5219808594597 -34.8787475373444,-61.5228496303239 -34.8780229073907,-61.5217697791237 -34.8770651146597,-61.5213340038975 -34.8767161142197,-61.5209401827219 -34.8770478806688,-61.5200121063221 -34.8761723970305,-61.5196748373876 -34.8764939868528,-61.519395654306 -34.8762936551989,-61.5191786354021 -34.8765022439392,-61.5190508825321 -34.8765279663265,-61.5181871200798 -34.87726642458,-61.5185971631792 -34.8776693716383,-61.5202264696688 -34.8789786633544)))"
501,538,La Mascota,Buenos Aires,Tigre,Benavídez,176,160,Década 1990,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Gas en garrafa,Gas en garrafa,NO,Asentamiento,71948,"MULTIPOLYGON (((-58.7064945587314 -34.398832964827,-58.7069896417269 -34.3990459568193,-58.7071620483083 -34.3991490775462,-58.7080595793832 -34.3996226110924,-58.7081170665109 -34.3996213123656,-58.7086644853832 -34.3988831321277,-58.70877641 -34.398728842,-58.7092899085462 -34.3980895989823,-58.7094145378193 -34.3979446159647,-58.7099495618236 -34.397249841141,-58.7099790485286 -34.3972136465285,-58.710605457786 -34.3964447792967,-58.7105566333861 -34.3964091367238,-58.7095644288339 -34.3959280472801,-58.7094870022511 -34.3960230596344,-58.7077192423287 -34.3982521106165,-58.7064352078356 -34.397552125653,-58.7053034892292 -34.3981472155991,-58.704403639 -34.3986682469999,-58.7050443927914 -34.3990204946686,-58.7057720927435 -34.3984495481902,-58.7064945587314 -34.398832964827)))"
502,539,Parque Jolly,Buenos Aires,General Rodríguez,General Rodríguez,451,410,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,483867,"MULTIPOLYGON (((-58.9842932295123 -34.5926372934896,-58.9855037413639 -34.5932606063469,-58.986814576455 -34.5939790589423,-58.9876991 -34.5943943,-58.9865488 -34.595862,-58.9896833539748 -34.5975625754949,-58.9925045 -34.5939658,-58.9916470753688 -34.5935056592121,-58.9902153455836 -34.5927098822474,-58.991825644084 -34.5906314085954,-58.9900836002307 -34.589817181695,-58.986212524036 -34.5898499804051,-58.9861786579888 -34.5900711796365,-58.9842788156742 -34.5925522625047,-58.9806709444145 -34.5906869512459,-58.9787394415311 -34.5932316301412,-58.9823527043816 -34.5951741063615,-58.9842932290384 -34.5926372937442,-58.9842932295123 -34.5926372934896),(-58.98932329184 -34.5922656024166,-58.9880047744219 -34.5939387435721,-58.9872356354804 -34.5935392325879,-58.9885017272267 -34.5918895791228,-58.98932329184 -34.5922656024166)))"
503,540,Arroyo Las Víboras,Buenos Aires,La Matanza,González Catán,493,448,Década 1980,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,179470,"MULTIPOLYGON (((-58.6571130098701 -34.7680849622013,-58.6561731487322 -34.7685557408566,-58.6585133609191 -34.7704914719248,-58.660894973352 -34.7685776131948,-58.6615078490346 -34.7680934448364,-58.6607130072044 -34.7674424042734,-58.6611819710385 -34.7668402513717,-58.6619557412436 -34.7659708111434,-58.66205038388 -34.7660292377847,-58.6624434983086 -34.7653749827716,-58.6628717362039 -34.76497808722,-58.663371205 -34.7653863959999,-58.664095402 -34.765959283,-58.6648526664277 -34.7653624782561,-58.6636217407623 -34.7642418774966,-58.6638962100929 -34.7635520927317,-58.6640180369999 -34.763368041,-58.664500834 -34.762795136,-58.6647900411365 -34.7624578268479,-58.6653173111663 -34.7613834238763,-58.6658030496526 -34.7607857307946,-58.6667002459999 -34.760653319,-58.666523871103 -34.7602405075541,-58.6660851182905 -34.7598230874319,-58.6655246838286 -34.7596114973428,-58.6646954633428 -34.7608344993459,-58.664450024817 -34.7608306874059,-58.662655475 -34.7636456779999,-58.6628273193543 -34.763714711777,-58.6626601537518 -34.7638457691798,-58.6622114160178 -34.7640432619417,-58.6618539415872 -34.7642129859881,-58.6616898789999 -34.7645041053143,-58.6616793333543 -34.764734182,-58.6616247808286 -34.7651040729693,-58.6613552541852 -34.7654078807284,-58.6611920091171 -34.7655746538538,-58.6599976372178 -34.7651327017442,-58.6597985029999 -34.765443685,-58.6602989020048 -34.7656180470355,-58.66065681 -34.7657830109999,-58.6613642445673 -34.7660639516672,-58.6603421113323 -34.7673399293282,-58.65986033203 -34.767707791123,-58.6597378609788 -34.7676222350545,-58.6596133324293 -34.7677048918685,-58.65954825699 -34.7676587545857,-58.6591814550149 -34.7679241774293,-58.6591612872022 -34.7680461254702,-58.6587825681564 -34.768183005497,-58.6584079248018 -34.7687831294566,-58.6579804342629 -34.7689401257087,-58.6579321542628 -34.7688403070499,-58.6576188563028 -34.7688063842213,-58.6571130098701 -34.7680849622013)))"
504,541,Lomas Verdes,Buenos Aires,Moreno,La Reja,242,220,Década 1980,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,121009,"MULTIPOLYGON (((-58.816783 -34.6206803699999,-58.815307952 -34.621086508,-58.8147103415633 -34.6212007650772,-58.8146343114482 -34.6212091340615,-58.814400166478 -34.6206251803342,-58.8140406359844 -34.6195891400387,-58.8124857710138 -34.620032977149,-58.812882829521 -34.6210394307562,-58.8122211544162 -34.6212150643202,-58.8121187120372 -34.6209812812237,-58.8111197776684 -34.6212154861877,-58.8114071128535 -34.6220320497057,-58.810108048482 -34.6223825047803,-58.8106030229999 -34.6237925679999,-58.8119857544061 -34.6234021559613,-58.814948369 -34.622525631,-58.8158387149254 -34.622276961221,-58.8156723979999 -34.621925264,-58.8153936159999 -34.6212145289999,-58.816825915 -34.6208392939999,-58.816783 -34.6206803699999)))"
505,542,Sargento Cabral,Buenos Aires,San Pedro,Río Tala,88,80,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Sin Datos,NO,Asentamiento,29026,"MULTIPOLYGON (((-59.6397082108092 -33.7679374359145,-59.6384056850466 -33.7670192174895,-59.6384606453469 -33.7669672327382,-59.6376096365825 -33.7664093204907,-59.6372136935884 -33.7668465291833,-59.6370556591467 -33.7667483245014,-59.638177786377 -33.7655981958142,-59.6393767059991 -33.7643885525181,-59.6395680917451 -33.7646066159602,-59.6384126289788 -33.7658267173437,-59.640102721732 -33.7674356772692,-59.6397082108092 -33.7679374359145)))"
506,543,Santa Cecilia,Buenos Aires,La Matanza,González Catán,616,560,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Leña o carbón,NO,Asentamiento,436619,"MULTIPOLYGON (((-58.6698025032568 -34.7726786185219,-58.6716785057199 -34.7743857454066,-58.6710273128092 -34.7748117843264,-58.6716051888611 -34.7753840532895,-58.6714594957627 -34.7755797391177,-58.6710195597401 -34.7757597129452,-58.6706024775369 -34.7758968358613,-58.6696997516724 -34.7758082773113,-58.6686113385257 -34.7755483151161,-58.6684027974241 -34.7758025638564,-58.6683142388741 -34.776011104958,-58.6683670363172 -34.7769482897633,-58.6645386942166 -34.7770949269355,-58.6647341644529 -34.7768139050891,-58.6665925136146 -34.7752910050461,-58.6626224158515 -34.7719130833883,-58.663216 -34.771417,-58.664426 -34.770399,-58.665142 -34.769826,-58.665954 -34.769206,-58.6670686198016 -34.7682825141773,-58.6671052853156 -34.768317859578,-58.6690476105372 -34.7699657182567,-58.6710437217967 -34.7716444479597,-58.6698025032568 -34.7726786185219)))"
507,544,Doce de Marzo,Buenos Aires,San Nicolás,San Nicolás De Los Arroyos,132,120,Década 2010,2013,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Sin Datos,NO,Asentamiento,88221,"MULTIPOLYGON (((-60.2366274347308 -33.3573174891964,-60.2368994635517 -33.3571176456467,-60.2355932030172 -33.3557854483865,-60.2353811745883 -33.3559665495095,-60.2355127648155 -33.3561206858954,-60.2366274347308 -33.3573174891964)),((-60.2403623609355 -33.3605708742718,-60.2403376988813 -33.3605896381288,-60.2444814169497 -33.3645684393046,-60.2456192852214 -33.3636813852727,-60.2414187219655 -33.3597569477855,-60.2403623609355 -33.3605708742718)))"
508,545,Nueva Esperanza,Buenos Aires,San Isidro,Boulogne Sur Mer,99,90,Década 2000,,Conexión irregular a la red,Conexión irregular a la red cloacal,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,6354,"MULTIPOLYGON (((-58.5597109846849 -34.5141244563995,-58.5598210517394 -34.5140722369443,-58.5601260556586 -34.5138800875196,-58.5605290223595 -34.5136233935334,-58.560815052776 -34.5134405675275,-58.5607575186171 -34.5133879653302,-58.5608966666768 -34.5132541778975,-58.56072548877 -34.5131145732411,-58.5608163790346 -34.5130392268502,-58.5606545451898 -34.5129054172183,-58.5603986885903 -34.5131163861231,-58.5602447735056 -34.5132463541055,-58.5594979799087 -34.5139294449046,-58.5597109846849 -34.5141244563995)))"
509,546,San Pablo y Echagüe,Buenos Aires,Almirante Brown,Burzaco,58,53,Década 1980,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Conexión formal a la red de gas con factura,Conexión formal a la red de gas con factura,NO,Asentamiento,12723,"MULTIPOLYGON (((-58.408104242 -34.828314043,-58.408131064 -34.8282854199999,-58.408200801 -34.827695352,-58.408737243 -34.826964367,-58.4080586439999 -34.826638504,-58.407117189 -34.827829659,-58.408104242 -34.828314043)))"
510,547,Santa Teresita II,Buenos Aires,Berisso,Berisso,319,290,Década 2010,2011,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,186437,"MULTIPOLYGON (((-57.8532966485245 -34.8848900852144,-57.8544835967083 -34.8853648147418,-57.8551647288505 -34.8843360754589,-57.8497926410485 -34.8819745726908,-57.8495940792502 -34.8823782563147,-57.8490224863545 -34.8827350313704,-57.8492373918186 -34.8830263080355,-57.8486991320115 -34.8833451584407,-57.8474541521886 -34.8840683914139,-57.8485812384069 -34.8854392178664,-57.849792150898 -34.886924462942,-57.8532966485245 -34.8848900852144)))"
511,548,El Triángulo,Buenos Aires,Quilmes,Bernal Oeste,85,77,Década 2010,2011,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Sin Datos,NO,Villa,13816,"MULTIPOLYGON (((-58.3160125633438 -34.7149998948616,-58.3159211036205 -34.715030495204,-58.315497594417 -34.7153284689131,-58.3150227146463 -34.7149256535475,-58.314739149607 -34.7146856877354,-58.313708565688 -34.7137331538466,-58.3134527561046 -34.7139376400429,-58.3144516121258 -34.7149218163633,-58.3150358152043 -34.7154896861056,-58.3154478879117 -34.7158602374899,-58.3154119291598 -34.7159173740646,-58.3156600548038 -34.7161459647212,-58.3157325324908 -34.7160643211912,-58.315834297 -34.7157638849999,-58.3160724224253 -34.7151367328908,-58.3160125633438 -34.7149998948616)))"
512,549,Maravilla del Oeste,Buenos Aires,General Rodríguez,General Rodríguez,462,420,Década 1960,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,203081,"MULTIPOLYGON (((-58.8688452581099 -34.6178708883298,-58.8678594071848 -34.6176907328307,-58.867817549096 -34.6175412396565,-58.8673331912114 -34.6173618478474,-58.8670013163645 -34.6164080813956,-58.8681583935333 -34.6160791964122,-58.8686696601892 -34.6173214846903,-58.8687455838359 -34.6173654010279,-58.8757217 -34.6154357,-58.8767356 -34.61793,-58.8708613220385 -34.6195906610033,-58.8703230546965 -34.6182363829168,-58.8699037263427 -34.6181347275583,-58.8698805549007 -34.6181706059201,-58.8699852001227 -34.618484541586,-58.8691689673913 -34.6187050440181,-58.8688452581099 -34.6178708883298)))"
513,550,El Ombú II,Buenos Aires,Almirante Brown,Glew,127,115,Década 1990,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Leña o carbón,NO,Asentamiento,47014,"MULTIPOLYGON (((-58.372929141055 -34.8775147700545,-58.3735814457418 -34.87784186867,-58.3733368068309 -34.8782073749984,-58.3734093756078 -34.8782436593868,-58.3729952359341 -34.8788187793209,-58.3741220896886 -34.8793671697599,-58.3759767628861 -34.8768903317375,-58.3759346975569 -34.876867703708,-58.3749960658731 -34.87638195824,-58.3748967687364 -34.8763332596563,-58.374280455 -34.8771560929999,-58.3734562581588 -34.8767681878448,-58.372929141055 -34.8775147700545)))"
514,551,San Ignacio,Buenos Aires,Quilmes,Bernal Oeste,385,350,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Conexión formal a la red cloacal,Conexión formal a la red de agua con factura,Gas en garrafa,Energía eléctrica,NO,Villa,84596,"MULTIPOLYGON (((-58.3186769988275 -34.7128423991295,-58.316525793265 -34.714815509672,-58.3163901760365 -34.7150566216389,-58.3162706431823 -34.7148110731614,-58.3142939301005 -34.7131737866367,-58.3169197074831 -34.711096110459,-58.3186769988275 -34.7128423991295)))"
515,552,Villa París,Buenos Aires,Almirante Brown,Glew,33,30,Década 1990,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Leña o carbón,NO,Asentamiento,8933,"MULTIPOLYGON (((-58.3755160104344 -34.8757005050139,-58.3749960658731 -34.87638195824,-58.3759346975569 -34.876867703708,-58.3764206303737 -34.8761478032387,-58.3755160104344 -34.8757005050139)))"
