fid,id_renabap,nombre_barrio,provincia,departamento,localidad,cantidad_viviendas_aproximadas,cantidad_familias_aproximada,decada_de_creacion,anio_de_creacion,energia_electrica,efluentes_cloacales,agua_corriente,cocina,calefaccion,titulo_propiedad,clasificacion_barrio,superficie_m2,WKT
37,43,Sin Nombre,Buenos Aires,La Plata,Los Hornos,29,32,Década 1970,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,19796,"MULTIPOLYGON (((-58.0010018819703 -34.9634062490723,-57.9999504072638 -34.9624692914131,-57.99911907173 -34.9617067281619,-57.9983853522012 -34.961060236369,-57.9981141349791 -34.9612611245259,-57.9980793036914 -34.961147609827,-57.9982659978186 -34.9609795094484,-57.9972908103482 -34.9601014762622,-57.997147929585 -34.9602187948673,-57.9971788966868 -34.9602928589866,-57.9980496558002 -34.9611607640385,-57.9980885944614 -34.9612829404076,-57.9981093627713 -34.9614385155671,-58.0006572306479 -34.9637088697456,-58.0010018819703 -34.9634062490723)))"
38,44,El Triunfo,Buenos Aires,La Plata,Los Hornos,242,266,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Energía eléctrica,NO,Asentamiento,153206,"MULTIPOLYGON (((-58.002031286633 -34.9684265509102,-58.0008389660017 -34.9693164061158,-57.9997465304662 -34.9701552720098,-58.0003370380239 -34.9706695207817,-57.9992520374515 -34.9714735281808,-57.999211522094 -34.9714997847872,-57.9980865412608 -34.9723337153287,-57.9986056740126 -34.9728035445479,-57.9986723380579 -34.9728673100782,-57.9990846142635 -34.9732448967346,-57.9992924116154 -34.9734352094673,-57.9994383958652 -34.9735689107766,-57.9995679539978 -34.973687566428,-57.9997814161794 -34.9738790078099,-58.0000519916061 -34.9741223310807,-58.0011707869023 -34.9733049732459,-58.0012258568877 -34.9732904815704,-58.0022953792283 -34.9724354430412,-58.0023329696021 -34.9724085637233,-58.0018617563071 -34.9719531570875,-58.0040812385998 -34.9702536776954,-58.002031286633 -34.9684265509102)))"
39,45,Nueva Fiorito,Buenos Aires,Lomas de Zamora,Villa Fiorito,800,880,Década 1960,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión formal a la red de agua con factura,Gas en garrafa,Sin Datos,NO,Villa,196947,"MULTIPOLYGON (((-58.4475985249678 -34.6996597620206,-58.4478019198251 -34.6993740433797,-58.448104238622 -34.6989092539612,-58.4480836720262 -34.6986974258478,-58.4481322126281 -34.6986691067497,-58.4481145214703 -34.6985596344219,-58.4481274626414 -34.6981650193222,-58.4475186357613 -34.6978985795389,-58.4459160073087 -34.7000023561393,-58.4429620574244 -34.7038372851029,-58.440552323331 -34.7025983087578,-58.4401108406395 -34.7031271722561,-58.4398370624622 -34.7034527710393,-58.4394210327108 -34.7040700124204,-58.4406007594462 -34.7047240915785,-58.4413255698942 -34.7051243871628,-58.4428481601298 -34.7059941341724,-58.4453641533027 -34.7026534648186,-58.4463818395029 -34.7032153703992,-58.4468750711135 -34.7025768458139,-58.4468555087973 -34.7023763886615,-58.4469340450477 -34.7017857787918,-58.4469743199661 -34.7016360794071,-58.4470783545485 -34.7014581287569,-58.4477635480338 -34.7011194025709,-58.4481619327913 -34.7006448555811,-58.4478856351368 -34.700498920746,-58.4479207059087 -34.7004509357147,-58.4479746850839 -34.7003899409545,-58.4480272876094 -34.7003279082844,-58.4478881929761 -34.7002450015962,-58.4479404119417 -34.7001931693863,-58.4478602111546 -34.700152136386,-58.4479558894756 -34.7000287229999,-58.4478958091316 -34.6999962761166,-58.4479453632279 -34.6999335612469,-58.4478427160952 -34.6998789288938,-58.4478930900641 -34.6998145974468,-58.4478025575176 -34.6997749081532,-58.4475985249678 -34.6996597620206)))"
40,46,Sin Nombre,Buenos Aires,La Plata,Los Hornos,300,330,Década 1970,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,173202,"MULTIPOLYGON (((-57.9946916321485 -34.9637242925362,-57.9930453409208 -34.9621500351112,-57.9926222155449 -34.962452272886,-57.9932636397972 -34.9630968599313,-57.9926483026437 -34.9635968726887,-57.9947004090227 -34.9654449012502,-57.9927752697296 -34.9668643036035,-57.9938107116036 -34.9678495566328,-57.9957046669308 -34.9664158127941,-57.9966794472095 -34.9672957365588,-57.9989527569023 -34.9656886943443,-57.9970957249035 -34.9638496306592,-57.9958882721138 -34.9628440376589,-57.9946916321485 -34.9637242925362)))"
41,47,155 y 46,Buenos Aires,La Plata,Los Hornos,39,43,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Sin Datos,NO,Asentamiento,27820,"MULTIPOLYGON (((-58.0026690523203 -34.9577191129517,-58.0012841824279 -34.9564291246899,-58.0012050345276 -34.9564372701642,-58.000495862437 -34.9569694742906,-58.0001717190784 -34.9572073983886,-58.0001146213405 -34.9572786873886,-58.0015600929261 -34.9585918278634,-58.0026690523203 -34.9577191129517)))"
42,48,Veintiuno de septiembre,Buenos Aires,Campana,Campana,940,1034,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,571193,"MULTIPOLYGON (((-59.0127468655494 -34.1539544781906,-59.0102173847896 -34.1562062252116,-59.0080178653432 -34.154695685967,-59.0074800336295 -34.1551902749298,-59.0071665236858 -34.1549227104089,-59.0068773278788 -34.1551770854087,-59.0070313900894 -34.1553227058543,-59.0064035985451 -34.1559174342768,-59.0109117513102 -34.159697656038,-59.0094860918681 -34.1603571079884,-59.009377318 -34.160269473,-59.0000172807678 -34.1525058460371,-59.0053415444663 -34.1493923679759,-59.0127468655494 -34.1539544781906)))"
43,49,Sin Nombre,Buenos Aires,La Plata,Los Hornos,130,143,Década 2010,2013,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Sin Datos,NO,Asentamiento,81959,"MULTIPOLYGON (((-57.9581016928236 -34.9623169484235,-57.9564489662074 -34.9636039476877,-57.9593249566821 -34.9662345145545,-57.961002258188 -34.9649717400694,-57.9581016928236 -34.9623169484235)))"
44,50,Urquiza,Buenos Aires,José C. Paz,José C. Paz,102,112,Década 1990,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Sin Datos,NO,Asentamiento,75466,"MULTIPOLYGON (((-58.8155029619109 -34.5028098369797,-58.8155482864988 -34.502924542223,-58.8155186 -34.5029296,-58.8150535009317 -34.5031088714989,-58.8149063083824 -34.5032766658453,-58.8138987362674 -34.5042997802925,-58.8133334431024 -34.5044597689241,-58.8131094590181 -34.5039051416678,-58.8130136750553 -34.5036829717477,-58.8129793488132 -34.5034983740773,-58.8144113105413 -34.5030975471268,-58.8155029619109 -34.5028098369797)),((-58.805794 -34.505542,-58.8057920932742 -34.5054312988822,-58.8087619280302 -34.5023965573555,-58.8088210611547 -34.5024385271628,-58.8094424 -34.5033147,-58.8097616 -34.5032417,-58.8107295926268 -34.5041775937893,-58.805794 -34.505542)))"
45,51,Santa Isabel,Buenos Aires,La Plata,Los Hornos,71,78,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,26964,"MULTIPOLYGON (((-57.9512693805384 -34.9689076099999,-57.9506264426153 -34.9693764758461,-57.9529511947692 -34.971497716,-57.9538842232308 -34.9707358291538,-57.9535912316153 -34.9705195978461,-57.9533043305385 -34.9707335742308,-57.9524410565003 -34.9699117977927,-57.9512693805384 -34.9689076099999)))"
46,52,Martín Fierro,Buenos Aires,General San Martín,Bíllinghurst,180,198,Década 1970,,Conexión irregular a la red,Conexión irregular a la red cloacal,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,51564,"MULTIPOLYGON (((-58.5766797203099 -34.5641240019769,-58.5761113936204 -34.5642693127782,-58.5759725410769 -34.5638366095032,-58.5755204630284 -34.5639528581443,-58.5756690029586 -34.564398477935,-58.5754365056765 -34.5644533731266,-58.5754494221922 -34.5645244139628,-58.5748520333424 -34.5649958667848,-58.5750780723667 -34.565221905809,-58.5753977561295 -34.5649764920112,-58.5759886867215 -34.5654866943803,-58.5764601395435 -34.5651218028126,-58.5763987860941 -34.5650701367499,-58.5769445088812 -34.5646987869243,-58.5767895106931 -34.5645308722206,-58.5766797203099 -34.5641240019769)),((-58.5795342702733 -34.5648901128127,-58.5787229516327 -34.5641135073079,-58.5782369677306 -34.5642741564716,-58.5781465521209 -34.5643153278653,-58.5773142441423 -34.5650515692586,-58.5774175762677 -34.5651500576906,-58.576461754108 -34.5659040592929,-58.5773158587068 -34.5666483735084,-58.5795342702733 -34.5648901128127)))"
47,53,La Sirena,Buenos Aires,Florencio Varela,Florencio Varela,180,198,Década 1990,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión formal a la red de agua con factura,Gas en garrafa,Sin Datos,NO,Asentamiento,51292,"MULTIPOLYGON (((-58.2870247504252 -34.7910471412285,-58.2875199363231 -34.7903830596066,-58.2891695446768 -34.791283030567,-58.2887182475274 -34.7919019038109,-58.2891594458505 -34.7921506134725,-58.2896005941877 -34.7920079999954,-58.2900011808627 -34.7918851910565,-58.2902681256692 -34.7917592239093,-58.2904191699051 -34.7916887305828,-58.2906266426529 -34.7915887562637,-58.2911015793697 -34.7913974433461,-58.2912785626379 -34.7913198925588,-58.2915809919341 -34.7909347200967,-58.2900800393572 -34.7901390177584,-58.2896120603231 -34.7907394379999,-58.2874401707165 -34.7895106926769,-58.2864913416219 -34.790758206378,-58.2870247504252 -34.7910471412285)))"
48,55,El Bajo,Buenos Aires,La Plata,José Melchor Romero,60,66,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Leña o carbón,NO,Asentamiento,38266,"MULTIPOLYGON (((-58.0410227899618 -34.9547696231592,-58.0421390506683 -34.9539590389236,-58.0411338147578 -34.9530737176882,-58.0401065558789 -34.9521448085289,-58.0389341880132 -34.9530197538789,-58.0399727450895 -34.9539356928789,-58.0400806012617 -34.9539486761977,-58.0410227899618 -34.9547696231592)))"
49,56,Gallardo y 9 de Julio,Buenos Aires,Tigre,Don Torcuato,200,220,Década 1990,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Camión cisterna,Gas en garrafa,Energía eléctrica,NO,Asentamiento,35447,"MULTIPOLYGON (((-58.6100647462773 -34.4751213250686,-58.6103174894645 -34.4750577724741,-58.6105955946065 -34.4749661014838,-58.6109122008387 -34.4748751461805,-58.6112761245583 -34.474772836574,-58.6114400150613 -34.4747528746353,-58.6121365442033 -34.4747174966354,-58.614409739071 -34.4745257851805,-58.6144259899362 -34.4745959882853,-58.6134855550823 -34.4758342984322,-58.6121701476871 -34.4751256571323,-58.611822359834 -34.4756105622002,-58.6115323971963 -34.4754737258993,-58.6116562746657 -34.4752644156924,-58.6110646441944 -34.4752204101202,-58.6107468261726 -34.4752644156924,-58.6106167252829 -34.4754478913062,-58.6102908171612 -34.4752842625258,-58.609882593 -34.475827723,-58.6096433969693 -34.476122536538,-58.6085162469015 -34.4755526292003,-58.6086458337025 -34.4754935518778,-58.6100133999685 -34.475186183564,-58.6100647462773 -34.4751213250686)))"
50,57,Villa Alba,Buenos Aires,La Plata,Villa Elvira,146,161,Década 1990,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Sin Datos,NO,Asentamiento,60927,"MULTIPOLYGON (((-57.8834500739363 -34.9356945227535,-57.8843614074924 -34.9350831171219,-57.8842808492482 -34.93498504789,-57.8834225423634 -34.9355479595719,-57.883342076093 -34.9356051300735,-57.8827780467279 -34.9349941498206,-57.8823518062923 -34.9352722082071,-57.8824166883814 -34.9353485150267,-57.8820359090209 -34.9355985195868,-57.882806681726 -34.9364891259451,-57.881874695106 -34.9370370306397,-57.8825769395788 -34.937763045727,-57.8834698590345 -34.9372041977535,-57.8829317622527 -34.9366393120734,-57.8833932593334 -34.9363395218038,-57.8837616375168 -34.9367511378665,-57.8833645207342 -34.9370230734308,-57.8843600909629 -34.9380431849398,-57.8847822238692 -34.9377645512101,-57.8844579464583 -34.9374393488955,-57.8848896232858 -34.9371566658816,-57.8841787576675 -34.9364538874484,-57.8834500739363 -34.9356945227535)),((-57.8869732873385 -34.9346846856031,-57.8851984202682 -34.9358284350912,-57.8858300091113 -34.9365257655239,-57.8876142081442 -34.9353455658803,-57.8869732873385 -34.9346846856031)))"
51,59,Villa Aburridita,Buenos Aires,La Plata,Villa Elvira,732,805,Década 1990,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Energía eléctrica,NO,Asentamiento,430204,"MULTIPOLYGON (((-57.8774014506971 -34.9441883471438,-57.8732634732747 -34.9398434708502,-57.8673718033519 -34.9434599427758,-57.8718514773386 -34.9482145839638,-57.8745692287692 -34.946181516305,-57.8746143478052 -34.9462114179688,-57.8774014506971 -34.9441883471438)))"
52,60,Dos de abril,Buenos Aires,La Plata,Los Hornos,148,163,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,45721,"MULTIPOLYGON (((-57.95529791 -34.965918894,-57.9540756296241 -34.9668864702393,-57.9549375934079 -34.9677634113263,-57.954786431449 -34.967874433122,-57.9552996802035 -34.9683192489378,-57.9551345365097 -34.9684555467948,-57.9554167870403 -34.968690412693,-57.9556735778772 -34.9685088084684,-57.955993578735 -34.9687876939386,-57.9561172764296 -34.9686902668562,-57.9561886064026 -34.9685491267658,-57.9563420756123 -34.9684298798932,-57.9572657969999 -34.9677219,-57.95529791 -34.965918894)))"
53,61,La Esperanza,Buenos Aires,La Plata,Los Hornos,200,220,Década 1990,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,140594,"MULTIPOLYGON (((-57.9617055966035 -34.9602616033117,-57.9608772662496 -34.9610082672927,-57.9653742746155 -34.9651506728485,-57.9665579737736 -34.9642315807719,-57.9655478235276 -34.9633281943731,-57.9660640768553 -34.9628556913274,-57.964620317549 -34.9614906825287,-57.9650188121064 -34.9611108674037,-57.9630114514093 -34.9593265467841,-57.9617055966035 -34.9602616033117)))"
54,62,Lucena,Buenos Aires,Avellaneda,Piñeyro,25,28,Década 2000,,Conexión irregular a la red,Conexión irregular a la red cloacal,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,4054,"MULTIPOLYGON (((-58.379752104679 -34.670701379483,-58.3808049687845 -34.6705430285685,-58.3806878367961 -34.6701516871073,-58.3797299718948 -34.6706173279886,-58.379752104679 -34.670701379483)),((-58.3805907307879 -34.6698908289178,-58.3805300999222 -34.6697472800686,-58.3800539405247 -34.6700257413152,-58.3800371382435 -34.6700071162784,-58.3798770495414 -34.6700763420181,-58.3798795735629 -34.6700902280158,-58.379526885502 -34.6703179072311,-58.3795670846321 -34.6703777999796,-58.3805907307879 -34.6698908289178)))"
55,63,La Palangana,Buenos Aires,La Plata,Lisandro Olmos,141,155,Década 1990,,Conexión irregular a la red,Conexión formal a la red cloacal,Conexión formal a la red de agua con factura,Gas en garrafa,Sin Datos,NO,Asentamiento,63105,"MULTIPOLYGON (((-58.0443723270541 -35.0033657413117,-58.0414459579505 -35.0005857003035,-58.0411863654058 -35.0005744506929,-58.0392457956764 -35.0021097028811,-58.040833089627 -35.0026086745776,-58.0416462814596 -35.0028562321103,-58.04187720807 -35.0029084434251,-58.0441055503001 -35.0035598955049,-58.0443723270541 -35.0033657413117)))"
56,64,El Molino,Buenos Aires,La Plata,City Bell,86,95,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,34227,"MULTIPOLYGON (((-58.0700229934065 -34.8740655025312,-58.0697676251874 -34.8736232795176,-58.0692223662062 -34.8737927900817,-58.0688987917887 -34.8727830147445,-58.069926228472 -34.8725227669303,-58.0701463309895 -34.8723900580594,-58.0703567231018 -34.8723771108525,-58.0712014775438 -34.872201498818,-58.0715203339938 -34.8731098377806,-58.0712370075076 -34.8731884415427,-58.0712411385354 -34.8732117253469,-58.0712144755595 -34.8732283897068,-58.0712468435768 -34.8737074363625,-58.0711367923181 -34.8740019853197,-58.0709037425937 -34.8742771134665,-58.0707257879715 -34.874390357317,-58.070567115214 -34.8739437228886,-58.0700229934065 -34.8740655025312)))"
57,65,Barrio Nuevo,Buenos Aires,La Plata,José Melchor Romero,304,334,Década 1970,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Energía eléctrica,NO,Asentamiento,617754,"MULTIPOLYGON (((-58.0642903796299 -34.9595630785581,-58.0627902129355 -34.958163633013,-58.062748788971 -34.9581974484942,-58.0626755842057 -34.9581235743527,-58.062691302653 -34.9581112190172,-58.0622550829456 -34.9577121963391,-58.0622280305607 -34.9577291040797,-58.0621912562248 -34.9576921183971,-58.0621703328959 -34.9577077580572,-58.0619490528408 -34.957461327738,-58.0620133022551 -34.9574122952903,-58.0619739917582 -34.9573645309231,-58.0619067834893 -34.9574097591292,-58.0617461599536 -34.9572110931772,-58.0626309941094 -34.9565499163634,-58.0611625882963 -34.9551778067219,-58.0619137252372 -34.9545960997471,-58.0633316856643 -34.9536770835325,-58.0652690912539 -34.9553164583818,-58.0646179966397 -34.9557839925511,-58.0664141204829 -34.9574087764115,-58.0668565245492 -34.9577601720531,-58.0689649927798 -34.9595838832231,-58.0701410318115 -34.9605896824418,-58.0731115431831 -34.9632046758721,-58.0685751963808 -34.9667045781757,-58.0633693030509 -34.9619763285177,-58.0644683061897 -34.9611368591971,-58.0634487694317 -34.9601917164976,-58.0642903796299 -34.9595630785581)))"
